name,address,latitude,longitude,games,cabs,game_counts,source
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１,36.1235137,139.7151734,chunithm;dance_around;ddr;gitadora;iidx;jubeat;maimai_dx;museca;nostalgia;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,dance_around:1;ddr:1;gitadora:2;maimai_dx:4;museca:1;popn:2,allnet;eagate;ziv
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７,36.0806388,139.4902256,chunithm;dance_around;dance_evo;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番,35.8594806,139.8671397,beatstream;chunithm;dance_around;dance_evo;ddr;gitadora;iidx;jubeat;maimai_dx;ongeki;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,beatstream:2;chunithm:1;dance_evo:1;ddr:1;maimai_dx:1;sdvx:3,allnet;eagate;ziv
ラウンドワンわらび店,埼玉県蕨市北町５−１−６,35.8307831,139.6742333,chunithm;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０,35.8323319,140.0119419,chunithm;dance_around;ddr;drs;gitadora;iidx;maimai_dx;ongeki;polaris_chord;popn;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000,35.6256894,139.7763086,chunithm;crossbeats;dance_around;dance_evo;ddr;drs;gitadora;iidx;jubeat;maimai_dx;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:4;crossbeats:2;dance_around:3;dance_evo:1;ddr:1;drs:1;gitadora:4;iidx:2;jubeat:2;maimai_dx:2;ongeki:2;polaris_chord:2;popn:3;project_diva:1;sdvx:1;taiko:6,allnet;eagate;ziv
ラウンドワンモレラ岐阜店,岐阜県本巣市三橋１１００,35.4552106,136.6727657,chunithm;dance_around;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１,35.9857321,139.6078402,chunithm;dance_around;ddr;drs;gitadora;iidx;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ラウンドワン中川１号線店,愛知県名古屋市中川区法蔵町２−２３,35.1236443,136.8636045,chunithm;dance_around;ddr;drs;gitadora;iidx;jubeat;maimai_dx;ongeki;other;polaris_chord;popn;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:4;dance_around:2;ddr:1;drs:1;gitadora:2;iidx:2;jubeat:1;maimai_dx:2;ongeki:4;polaris_chord:4;popn:1;sdvx:2;taiko:1,allnet;eagate;ziv
ラウンドワン京都河原町店,京都府京都市中京区河原町通三条下ル山崎町２５０,35.0070244,135.7686902,chunithm;dance_around;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:8;dance_around:1;ddr:2;drs:2;gitadora:4;iidx:5;jubeat:1;maimai_dx:8;nostalgia:1;ongeki:6;polaris_chord:4;popn:5;project_diva:1;sdvx:6;taiko:5,allnet;eagate;ziv
