name,address,latitude,longitude,games,cabs,game_counts,source
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル,35.6922777,140.0201815,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
アミューズメントスペースASO：VIBA！,東京都渋谷区恵比寿1-10-5三恵エビスビル2F,35.6467821,139.7110171,chunithm;iidx;maimai_dx;ongeki;other;polaris_chord;popn;sdvx;taiko,iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧキスケ,愛媛県松山市宮田町４　キスケボックス内１階,33.8413598,132.7528735,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧジアス,広島県福山市柳津町１−７−６０,34.4406368,133.2606430,chunithm;gitadora;ongeki;other;polaris_chord;popn;sdvx,sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧ伊予三島,愛媛県四国中央市中之庄町７５−１　アイランド三島内,33.9745392,133.5287779,chunithm;gitadora;iidx;ongeki;other;polaris_chord;popn;sdvx,iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズメントパークＭＧ東予,愛媛県西条市周布７１５−１　フジ東予店　別棟,33.9204600,133.0775400,chunithm;ddr;gitadora;nostalgia;ongeki;polaris_chord;popn;project_diva,,,allnet;eagate
アミューズメントワールドメトロポリス小牧,愛知県小牧市村中新町３３,35.2959343,136.9056166,chunithm;iidx;maimai_dx;ongeki;other;polaris_chord;popn;sdvx;taiko,iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1,35.9132940,139.4831383,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;ongeki;polaris_chord;popn;project_diva;reflec;sdvx;taiko,iidx_lm;popn_pikapika;sdvx_vm,ddr:2;gitadora:5;iidx:3;jubeat:7;maimai_dx:2;popn:2;project_diva:3;reflec:6;sdvx:6;taiko:2,allnet;eagate;ziv
アミューズランドモナコ調布駅前店,東京都調布市布田４−２−２２,35.6512163,139.5443517,chunithm;iidx;maimai_dx;ongeki;polaris_chord;sdvx,iidx_lm;sdvx_vm,,allnet;eagate
アルゴ,神戸市中央区下山手通1-1-8,34.6939218,135.1914556,ddr;gitadora;iidx;nostalgia;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,eagate
インターパークプラスワン 宇都宮店,宇都宮市インターパーク6-5-1,36.4882211,139.9053211,ddr;drs;gitadora;iidx;jubeat;nostalgia;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,eagate
インターワールド伊勢崎店,群馬県伊勢崎市宮子町３４２５−４,36.3315214,139.1625033,chunithm;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;sdvx_vm,,allnet;eagate
キッズサーカス奈良柏木店,奈良県奈良市柏木町４５６−１,34.6718191,135.7991956,chunithm;maimai_dx;ongeki;other;polaris_chord,,,allnet;eagate;ziv
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１ー２−１０,43.0452612,141.4757970,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;ongeki;other;polaris_chord;popn;project_diva;reflec;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;sdvx_vm,,allnet;eagate;ziv
ゲームインプリンス,静岡県静岡市清水区天神1-2-6,35.0241515,138.4798096,chunithm;iidx;maimai_dx;polaris_chord,,,allnet;eagate
ゲームガリバー,千葉県柏市柏１‐１‐１１,35.8616855,139.9711177,chunithm;gitadora;iidx;maimai_dx;nostalgia;polaris_chord;popn;sdvx,iidx_lm;sdvx_vm,,allnet;eagate
ゲームキングジョイ,愛知県名古屋市中区栄３‐３‐３２,35.1679815,136.9049511,chunithm;dance_evo;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;reflec;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:1;dance_evo:1;ddr:1;drs:1;gitadora:2;iidx:1;jubeat:1;maimai_dx:1;nostalgia:1;ongeki:1;popn:2;reflec:1;sdvx:1;taiko:1,allnet;eagate;ziv
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F,38.2509985,140.9439369,chunithm;dance_evo;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;reflec;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ゲームシティ川口店,埼玉県川口市栄町1-10-5,35.8025278,139.7256101,chunithm;gitadora;iidx;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx,iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内,36.0463834,140.1682228,chunithm;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200,35.8421860,139.8548677,chunithm;ddr;gitadora;iidx;maimai_dx;ongeki;other;polaris_chord;popn;sdvx,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
ゲームパニック大須,愛知県名古屋市中区大須3-30-93　メガタウンB1F,35.1600309,136.9053767,chunithm;ddr;gitadora;iidx;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:1;ddr:1;gitadora:2;iidx:1;maimai_dx:1;nostalgia:1;ongeki:1;popn:1;sdvx:1;taiko:1,allnet;eagate;ziv
ゲームパニック大高,愛知県名古屋市緑区忠治山２０１番地,35.0485212,136.9497129,chunithm;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:1;ddr:1;drs:1;gitadora:2;iidx:1;jubeat:1;maimai_dx:1;nostalgia:1;ongeki:1;popn:1;project_diva:1;sdvx:1;taiko:1,allnet;eagate;ziv
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階,35.6958088,139.7015128,chunithm;ddr;drs;gitadora;iidx;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:1;ddr:3;drs:1;gitadora:2;iidx:1;maimai_dx:1;nostalgia:2;ongeki:1;popn:2;project_diva:1;sdvx:1;taiko:1,allnet;eagate;ziv
