name,address,latitude,longitude,games,cabs,source
Neverland (Alcorta Shopping),"3172 Jerónimo Salguero Buenos Aires Buenos Aires, C1425, Buenos Aires",-34.5747437,-58.4039886,other,,ziv
Neverland (Dot Baires Shopping),"4800 Avenida Melián Florida Buenos Aires, C1430, Florida",-34.5462105,-58.4882107,other,,ziv
Neverland Park @ Abasto Shopping,"Av. Corrientes 3247 - Lavalle 3120 Nivel 2 y 3 Buenos Aires Autonomous City of Buenos Aires, C1193, Buenos Aires",-34.6038592,-58.4109592,other,,ziv
Neverland Park @ Mendoza Shopping,"Av. de Acceso Este 3280, M5500 Mendoza Mendoza City, Mendoza M2156, Mendoza City, Mendoza",-32.9003533,-68.7992934,other,,ziv
Neverland Park @ Portal Rosario Shopping,"Nansen 323 Rosario, Santa Fe S2013APG, Rosario, Santa Fe",-32.9108922,-60.6832305,other,,ziv
New Wonder,"Calle 3 & Calle 4, Villa Celina Buenos Aires 1417, Buenos Aires",-34.7029534,-58.4823842,other,,ziv
Pac-Man,"965 Calle 8 La Plata Buenos Aires, B1904, La Plata",-34.9166918,-57.9497903,other,,ziv
Playground @ Centenario Mall,"3525 Avenida Raúl Alfonsín Corrientes Corrientes, W3402, Corrientes",-27.4715217,-58.8064526,other,,ziv
Playland Park (La Barraca Mall),"1833 Las Cañas Godoy Cruz Mendoza, M5519, Godoy Cruz",-32.9144039,-68.8219545,other,,ziv
Playland Park (Los Gallegos Shopping),"3050 Rivadavia Mar del Plata Buenos Aires, B7600, Mar del Plata",-37.9982428,-57.5524781,other,,ziv
Playland Park (Mar de Ajó),"69 Hipólito Yrigoyen Mar de Ajó Buenos Aires, B7109, Mar de Ajó",-36.7224617,-56.6751288,other,,ziv
Playland Park (Paseo De La Patagonia Shopping Center),"111 Avenida del Trabajador Neuquén Neuquén, Neuquén",-38.9465191,-68.0741887,other,,ziv
Playland Park (Showcase Belgrano),"2585 Arribeños EOH Buenos Aires, C1426, EOH",-34.5539464,-58.4532386,other,,ziv
Playland Park @ Paseo Aldrey Shopping,"2685 Sarmiento Mar del Plata Buenos Aires, B7600, Mar del Plata",-38.0121835,-57.5437176,other,,ziv
Playland Park @ San Justo Shopping,"3900 Avenida Brigadier General Juan Manuel de Rosas La Matanza Buenos Aires, La Matanza",-34.6853502,-58.5563635,other,,ziv
Playland Park @ Showcase Quilmes,"Olavarría 180, B1878 Quilmes, Buenos Aires Quilmes Buenos Aires, B1878, Quilmes",-34.7245851,-58.2557475,other,,ziv
Playland Park @ Unicenter,"Paraná 3745 B1640FRC, B1640FRC Martínez, Provincia de Buenos Air Olivos, Buenos Aires B1033, Olivos, Buenos Aires",-34.5080486,-58.5268924,other,,ziv
Playland Park Avellaneda (Paseo Comercial Avellaneda),"789 Ramallo Sarandí Buenos Aires, B1872, Sarandí",-34.6801218,-58.3327498,other,,ziv
Playland Park Devoto (Devoto Shopping),"3365 Quevedo, Buenos Aires, C1417",-34.6117364,-58.5177658,other,,ziv
Playland Park Ezeiza (Las Toscas Shopping),"653 Formosa Ezeiza Buenos Aires, B1804, Ezeiza",-34.8563209,-58.5036220,other,,ziv
Playland Park Puerto Madryn,"Avenida Julio Argentino Roca, 28 de Julio Puerto Madryn Chubut, U9120, Puerto Madryn",-42.7657391,-65.0336909,gitadora;other,,ziv
Playland Park San Bernardo,"2887 Chiozza San Bernardo Buenos Aires, B7107, San Bernardo",-36.6850830,-56.6781530,other,,ziv
Playland Park Santa Fe,"3000 Calle de Servicio Puerto Santa Fe Santa Fe Santa Fe, S3000, Santa Fe",-31.6500416,-60.7011113,other,,ziv
Playland Park Ushuaia,"Perito Moreno 1460 Ushuaia Tierra del Fuego, V9410, Ushuaia",-54.7995359,-68.2790341,other,,ziv
Predio 80 - Paseo de Compras,"1947 Calle 80 Altos de San Lorenzo Provincia de Buenos Aires, B1912, Altos de San Lorenzo",-34.9623877,-57.9479773,other,,ziv
Puerto Pirata,"3900 Avenida Brigadier General Juan Manuel de Rosas buenos aires La Matanza, B1754, buenos aires",-34.6861840,-58.5551442,other,,ziv
Sacoa (Villa Gesell),"434 Avenida 3 Villa Gesell Buenos Aires, Villa Gesell",-37.2558951,-56.9685530,other,,ziv
Sacoa @ Alto Rosario Shopping,"501 Junín Rosario Santa Fe, S2000, Rosario",-32.9267254,-60.6690520,other,,ziv
Sacoa @ Av. San Martin,"2334 Peatonal San Martín Mar del Plata Buenos Aires, B7600, Mar del Plata",-38.0011914,-57.5446789,other,,ziv
Sacoa @ Bahia Blanca Shopping,"2153 Sarmiento Bahía Blanca Buenos Aires, B8000, Bahía Blanca",-38.7004946,-62.2409989,other,,ziv
Sacoa @ Oh! Buenos Aires Shopping Center,"Av. Pueyrredón 2501, C1119ACI C1119ACI Cdad. Autónoma de Buenos Aires Buenos Aires, 1021, Cdad. Autónoma de Buenos Aires",-34.5857606,-58.3933319,other,,ziv
Sacoa @ RONDA (Dot Baires Shopping),"Vedia 3600 Ciudad Autonoma de Buenos Aires Buenos Aires, B8174, Ciudad Autonoma de Buenos Aires",-34.5464652,-58.4879440,other,,ziv
Sacoa Jujuy (Annuar Shopping),"563 General Belgrano San Salvador de Jujuy Jujuy, Y4600, San Salvador de Jujuy",-24.1851419,-65.3010420,other,,ziv
Sacoa Miramar,"918 Calle 21 Miramar Buenos Aires, B7607, Miramar",-38.2722450,-57.8357873,other,,ziv
Sacoa Monte Hermoso,"2 Faro Recalada Monte Hermoso Buenos Aires, B8153, Monte Hermoso",-38.9876188,-61.2866939,other,,ziv
Sacoa Necochea,"244 Calle 83 Necochea Buenos Aires, B7632, Necochea",-38.5820733,-58.7291336,other,,ziv
Sargento Peppers,"7265 Calle 2 Mar del Tuyú Buenos Aires, Mar del Tuyú",-36.5747430,-56.6903963,other,,ziv
Sarmiento Shopping (Videojuegos Funland),"757 Avenida Sarmiento Resistencia Chaco, H3502, Resistencia",-27.4308063,-58.9627808,other,,ziv
Sass Entretenimientos (La Falda),"114 Avenida Eden La Falda Córdoba, X5172, La Falda",-31.0933701,-64.4857779,other,,ziv
Sass Entretenimientos (Mina Clavero),"1034 Avenida San Martín, Córdoba",-31.7222332,-65.0040519,other,,ziv
Space,"234 Avenida 3 Villa Gesell Buenos Aires, Villa Gesell",-37.2540296,-56.9671688,gitadora;other,,ziv
Top Center,"152 República de Siria Palpalá Jujuy, Y4612, Palpalá",-24.2531126,-65.2060032,other,,ziv
Videojuegos @ Marcos Shopping Center,"1142 Avenida Presidente Doctor Nestor C. Kirchner Río Gallegos Santa Cruz, Z9400, Río Gallegos",-51.6200979,-69.2187738,other,,ziv
Videojuegos El Rayo,"2035 Chiozza San Bernardo Buenos Aires, San Bernardo",-36.6961327,-56.6771901,other,,ziv
VR Juegos,"Calle 32 entre 2 y 3 Santa Teresita Buenos Aires, B7107, Santa Teresita",-36.5354080,-56.6900096,other,,ziv
Zona Entretenimientos - COTO (Mar Del Tuyú),"Ruta Provincial 11 Mar del Tuyú Buenos Aires, Mar del Tuyú",-36.5824367,-56.7167206,ddr;other,,ziv
Zona Entretenimientos - Coto (Munro),"Av. Bartolomé Mitre 2951 Munro Provincia de Buenos Aires, B1605, Munro",-34.5236494,-58.5204390,other,,ziv
Ñácate,"N° 1643 Calle 1 Las Toninas Provincia de Buenos Aires, B7106, Las Toninas",-36.4957340,-56.6928113,other,,ziv
1989 Arcade Bar,"22 A36 Darlington New South Wales, 2042, Darlington",-33.8925774,151.1869020,other,,ziv
Alleyz Bowling and Arcade - Matthew Flinders Hotel,"667 Warrigal Road Chadstone Victoria, 3148, Chadstone",-37.8763251,145.0921216,other,,ziv
